trial_id,trial_index,condition_label,condition_name,trial_duration_sec,dt_sec,aom_mean,aom_std,aom_max,aom_min,aom_baseline_mean,aom_response_mean,aom_delta_response_baseline,aom_peak_index,aom_peak_time_sec,aom_mean_abs_diff,pom_mean,pom_std,pom_max,pom_min,pom_baseline_mean,pom_response_mean,pom_delta_response_baseline,pom_peak_index,pom_peak_time_sec,pom_mean_abs_diff,avg_pupil_mean,avg_pupil_std,avg_pupil_max,avg_pupil_min,avg_pupil_baseline_mean,avg_pupil_response_mean,avg_pupil_delta_response_baseline,avg_pupil_peak_index,avg_pupil_peak_time_sec,avg_pupil_mean_abs_diff,avg_eye_mean,avg_eye_std,avg_eye_max,avg_eye_min,avg_eye_baseline_mean,avg_eye_response_mean,avg_eye_delta_response_baseline,avg_eye_peak_index,avg_eye_peak_time_sec,avg_eye_mean_abs_diff
T001,0,1,tilt_left,4.0,0.05,0.4144989146255195,0.3193164410835908,1.952441438016986,0.0,0.40071048012377364,0.4510363895890827,0.05032590946530907,11,0.55,0.1378878584211864,0.051142891893421735,0.09388133006960223,0.40690948490238,0.0,0.0010917972588754116,0.0008022196302121677,-0.0002895776286632439,44,2.2,0.02989144806213998,0.16871651542539468,0.010302874654037546,0.1917449684743138,0.1455448341943097,0.1504953171880877,0.1724585132824809,0.021963196094393206,22,1.1,0.003836809717022249,0.024272082593494625,0.021498857576167353,0.10096870413239956,0.0013962739887289,0.010626321573297928,0.031614928964987195,0.020988607391689267,73,3.6500000000000004,0.018528852377356703
T002,1,1,tilt_left,4.0,0.05,0.4220484428251427,0.2516547816490402,1.1715460660588217,0.0,0.5297463116022465,0.34940709613983617,-0.18033921546241033,47,2.35,0.1182594608763868,0.03975122745477809,0.0698932634770614,0.30247925264776243,0.0,0.0005253934260462166,0.0007547027200732515,0.00022930929402703484,45,2.25,0.0228569583324561,0.17833415792986468,0.004633359076425682,0.18772708645187008,0.16849411107678958,0.1824209981883967,0.17868321896529835,-0.003737779223098342,58,2.9000000000000004,0.002705891167553514,0.019050594731076186,0.01693820834957769,0.0834051855652384,0.0023161298755116503,0.02571737151581393,0.019640552705982646,-0.006076818809831283,0,0.0,0.012831924313696676
T003,2,2,tilt_right,4.0,0.05,0.2643275797569503,0.2521999265837654,0.7973786518254882,0.0,0.04867391207351212,0.061978020777183264,0.013304108703671144,79,3.95,0.06232292509825898,0.03257630322365783,0.06956004626056693,0.3133439468844192,0.0,0.0008828041535005012,0.0007216861241720333,-0.00016111802932846796,64,3.2,0.018521958421910824,0.17909299710883522,0.00821537420153815,0.19647220691967926,0.16389611337847115,0.18485104445937078,0.17372664561883674,-0.011124398840534039,72,3.6,0.0025700847899350287,0.015198727218972946,0.016866593650770537,0.09450308985748729,0.00126245973536955,0.0067061637244925695,0.005978110880782755,-0.0007280528437098146,75,3.75,0.009002765039697448
T004,3,1,tilt_left,4.0,0.05,0.4926876813717575,0.30424851545053516,1.6580658700055446,0.0,0.42330573029159535,0.4362167955713817,0.01291106527978636,30,1.5,0.21918274345750302,0.05915573118243187,0.10157287595514436,0.43201115585762817,0.0,0.0008481623156852075,0.0010711299635751633,0.0002229676478899558,44,2.2,0.0344834977372616,0.16942869876204364,0.0061733773756319195,0.18212028388894635,0.15603947364266146,0.179049384670484,0.16693616661909375,-0.012113218051390262,3,0.15000000000000002,0.0031351792293797366,0.019721811826601144,0.014861106809039397,0.06801093613217665,0.0012936740559175,0.02269228324389259,0.013264768919771214,-0.009427514324121377,0,0.0,0.014328420909725982
T005,4,1,tilt_left,4.0,0.05,0.33770751932419796,0.2891009219935392,1.3939409125938071,0.0,0.1606860416063936,0.12836280946033365,-0.03232323214605995,76,3.8000000000000003,0.16258276251061735,0.04622097284786743,0.07953669508116992,0.3596663085868095,0.0,0.0007963532200539452,0.0010043889432599699,0.00020803572320602466,44,2.2,0.02724791344462708,0.16395190235927326,0.010029316734571737,0.18827040521117144,0.15204027302089923,0.16618485233181685,0.15697602163847696,-0.009208830693339887,64,3.2,0.002323153727880107,0.01683336538682499,0.019292950607230856,0.08849091031998015,0.00083340736559815,0.013137625385200075,0.005351333864801846,-0.007786291520398229,58,2.9000000000000004,0.010175618114100117
T006,5,1,tilt_left,4.0,0.05,0.3790123841847995,0.31470590679614463,1.8739394678067793,0.0,0.23866073376042363,0.28096393430370753,0.0423032005432839,43,2.15,0.20260076866796034,0.057312139046110856,0.09684436582438322,0.4076432943948886,0.0,0.000884022552437063,0.0010744936971383528,0.0001904711447012898,44,2.2,0.03347428082954675,0.17180331282071565,0.005904017396708965,0.1860074567199235,0.15977303139609525,0.17276896449705137,0.17614928806757618,0.0033803235705248125,25,1.25,0.0028093499440594964,0.015708683640673536,0.014116026441294574,0.061497724945903845,0.0009532724866213,0.01632844360665865,0.008748683766523808,-0.00757975984013484,31,1.55,0.010752208154845266
T007,6,2,tilt_right,4.0,0.05,0.30031665100024985,0.28868556690573766,1.819941103356508,0.0,0.04469130192297319,0.18321550541983467,0.13852420349686148,49,2.45,0.1490847799661416,0.037137894138554194,0.07861019142439939,0.3405733612372639,0.0,0.0006942805446377564,0.0005753278708558961,-0.00011895267378186024,45,2.25,0.021605311848559763,0.1556019639886001,0.01061164685555419,0.17404067393067701,0.14030016910103954,0.15900753157727027,0.1487496702601808,-0.010257861317089473,68,3.4000000000000004,0.0019000664601606686,0.012396227172829604,0.014396150202256921,0.06069730438612625,0.0007469840992313001,0.008974102676898068,0.005605353731258592,-0.003368748945639476,0,0.0,0.007630977163524168
T008,7,2,tilt_right,4.0,0.05,0.4601925907354453,0.3986758592168924,2.1237643355572438,0.0,0.1506446603295397,0.3289448970719521,0.17830023674241244,56,2.8000000000000003,0.21680308499415807,0.030183200542481824,0.06356151935069371,0.3356515599230756,0.0,0.0007056789147693622,0.0005784426339656584,-0.00012723628080370383,45,2.25,0.01769578695605328,0.19038493152892738,0.1897350874087746,1.860926192132655,0.14934285350604976,0.1621120967008967,0.15672599616760483,-0.005386100533291888,68,3.4000000000000004,0.04511106224165125,0.028638485144653492,0.07928259294759454,0.5185950500526622,0.00120808053335675,0.00539641143778679,0.003874686646579019,-0.0015217247912077706,69,3.45,0.018875492191075587
T009,8,1,tilt_left,4.0,0.05,0.2768369543383795,0.24649768153595408,0.9746356816649074,0.0,0.07339599430316804,0.07301016409184144,-0.0003858302113265988,76,3.8000000000000003,0.08928485526609849,0.0582288702428755,0.09894270097831719,0.42901683352434306,0.0,0.0008564878410868124,0.0010182471194587356,0.0001617592783719232,64,3.2,0.03415210379927624,0.16115692225235206,0.005073567523494512,0.1694983808241768,0.1459975794829205,0.1662573542493226,0.1609091559662644,-0.0053481982830581865,8,0.4,0.002053593176463837,0.013386732231128667,0.017092545683563422,0.07835083069170021,0.0006081092924409001,0.011308493387925576,0.002013841793170488,-0.009294651594755088,0,0.0,0.00967114423786024
T010,9,1,tilt_left,4.0,0.05,0.22832031444273326,0.17034362312568155,0.7966159515291463,0.0,0.3009610193022075,0.2739480419969545,-0.027012977305252983,73,3.6500000000000004,0.07797019242248944,0.029568273150188795,0.050587799782554406,0.22242181731859828,0.0,0.00065778406888371,0.0006075885758166096,-5.0195493067100336e-05,44,2.2,0.01693217015947878,0.15770930327798252,0.004111632140528297,0.1706299372973236,0.14799115754275338,0.1547899978750757,0.15793054304553084,0.0031405451704551446,43,2.15,0.002476776846731842,0.015506368474674025,0.014027165904206372,0.0951581859353437,0.00098048676595845,0.027728600663720977,0.010862644401891743,-0.016865956261829233,0,0.0,0.008854623116882052
