trial_id,trial_index,condition_label,condition_name,pupil_valid_trial,eye_valid_trial,aom_valid_trial,pom_valid_trial,pupil_dilation_happened,pupil_baseline_min,pupil_response_max,pupil_dilation_threshold,pupil_dilation_time_sec,pupil_peak_time_sec,eye_movement_happened,eye_baseline_mean,eye_response_max,eye_movement_threshold,eye_movement_time_sec,eye_peak_time_sec,active_locomotion_happened,aom_baseline_mean,aom_response_max,active_locomotion_threshold,active_locomotion_time_sec,aom_peak_time_sec,passive_locomotion_happened,pom_baseline_mean,pom_response_max,passive_locomotion_threshold,passive_locomotion_time_sec,pom_peak_time_sec,active_freezing_happened,active_freezing_time_sec,aom_trough_time_sec,passive_freezing_happened,passive_freezing_time_sec,pom_trough_time_sec
T001,0,1,tilt_left,True,True,True,True,True,0.1455448341943097,0.17973696641551115,0.1528220759040252,2.0,3.45,True,0.026771404182289668,0.10096870413239956,0.0401571062734345,2.95,3.6500000000000004,True,0.4384549122227554,0.967803121865571,0.6576823683341331,3.35,3.4000000000000004,True,0.0008746140373779788,0.40690948490238,0.001311921056066968,2.0,2.2,True,2.0,3.0500000000000003,False,,3.7
T002,1,1,tilt_left,True,True,True,True,True,0.1715373512664064,0.18772708645187008,0.18011421882972672,2.0,2.9000000000000004,True,0.021159757408440467,0.04953851222715405,0.0317396361126607,2.45,3.5500000000000003,True,0.3944919000054387,1.1715460660588217,0.591737850008158,2.2,2.35,True,0.0006973753965664927,0.30247925264776243,0.001046063094849739,2.0,2.25,True,2.75,3.85,False,,3.7
T003,2,2,tilt_right,True,True,True,True,True,0.16491892634711963,0.19647220691967926,0.1731648726644756,2.0500000000000003,3.6,True,0.006160124091710208,0.09450308985748729,0.009240186137565312,2.0500000000000003,3.75,True,0.05865199360126548,0.7973786518254882,0.08797799040189822,2.0,3.95,True,0.0007619656315041503,0.3133439468844192,0.0011429484472562255,2.0,3.2,False,,2.7,False,,2.0
T004,3,1,tilt_left,True,True,True,True,True,0.15603947364266146,0.17803083660091734,0.16384144732479455,2.0,3.5,True,0.015621647500801555,0.060512759346857,0.023432471251202333,2.0500000000000003,2.75,True,0.432989029251435,1.4469911272564016,0.6494835438771525,2.0,2.1,True,0.001015388051602674,0.43201115585762817,0.001523082077404011,2.0,2.2,True,2.35,3.1,False,,3.7
T005,4,1,tilt_left,True,True,True,True,True,0.15297666775255295,0.18827040521117144,0.1606255011401806,2.3000000000000003,3.2,True,0.007297906744901404,0.08849091031998015,0.010946860117352106,2.25,2.9000000000000004,True,0.13644361749684863,1.3939409125938071,0.20466542624527295,2.0,3.8000000000000003,True,0.0009523800124584637,0.3596663085868095,0.0014285700186876956,2.0,2.2,False,,2.15,False,,3.7
T006,5,1,tilt_left,True,True,True,True,True,0.16444253145227475,0.1807180230471326,0.1726646580248885,2.15,3.95,True,0.010643623726557522,0.05491383546659635,0.015965435589836284,2.25,2.7,True,0.27038813416788665,1.8739394678067793,0.40558220125183,2.1,2.15,True,0.0010268759109630303,0.4076432943948886,0.0015403138664445454,2.0,2.2,True,2.0,2.0,False,,3.7
T007,6,2,tilt_right,True,True,True,True,True,0.14070294832015418,0.17404067393067701,0.1477380957361619,2.3000000000000003,3.4000000000000004,True,0.006447540967668461,0.0556966680667475,0.009671311451502691,2.25,3.35,True,0.1485844545456193,1.819941103356508,0.22287668181842896,2.0500000000000003,2.45,True,0.000605066039301361,0.3405733612372639,0.0009075990589520415,2.0,2.25,True,2.0,2.0,False,,2.0
T008,7,2,tilt_right,True,True,True,True,True,0.14934285350604976,1.860926192132655,0.15680999618135225,2.2,3.4000000000000004,True,0.004255117844380962,0.5185950500526622,0.006382676766571443,2.0,3.45,True,0.284369837886349,2.1237643355572438,0.4265547568295235,2.0,2.8000000000000003,True,0.0006102517041665843,0.3356515599230756,0.0009153775562498764,2.0,2.25,True,2.45,2.45,False,,2.0
T009,8,1,tilt_left,True,True,True,True,True,0.15310523558145334,0.16927571636947214,0.160760497360526,2.0500000000000003,3.8000000000000003,True,0.004337504691859261,0.060608649605179296,0.0065062570377888915,2.2,2.4000000000000004,True,0.07310662164467308,0.9746356816649074,0.10965993246700961,2.0500000000000003,3.8000000000000003,True,0.0009778072998657549,0.42901683352434306,0.0014667109497986323,2.0,3.2,False,,2.0,False,,3.7
T010,9,1,tilt_left,True,True,True,True,True,0.14799115754275338,0.1706299372973236,0.15539071541989105,2.0,2.15,True,0.015079133467349052,0.0529289855032583,0.022618700201023578,2.2,2.5500000000000003,True,0.28070128632326774,0.7966159515291463,0.4210519294849016,3.5500000000000003,3.6500000000000004,True,0.0006201374490833846,0.22242181731859828,0.0009302061736250769,2.0,2.2,True,2.0,3.9000000000000004,False,,3.7
