,pupil_dilation_time_sec,pupil_dilation_time_sec,pupil_dilation_time_sec,pupil_dilation_time_sec,pupil_dilation_time_sec,eye_movement_time_sec,eye_movement_time_sec,eye_movement_time_sec,eye_movement_time_sec,eye_movement_time_sec,active_locomotion_time_sec,active_locomotion_time_sec,active_locomotion_time_sec,active_locomotion_time_sec,active_locomotion_time_sec,passive_locomotion_time_sec,passive_locomotion_time_sec,passive_locomotion_time_sec,passive_locomotion_time_sec,passive_locomotion_time_sec,active_freezing_time_sec,active_freezing_time_sec,active_freezing_time_sec,active_freezing_time_sec,active_freezing_time_sec,passive_freezing_time_sec,passive_freezing_time_sec,passive_freezing_time_sec,passive_freezing_time_sec,passive_freezing_time_sec
,mean,median,std,sem,count,mean,median,std,sem,count,mean,median,std,sem,count,mean,median,std,sem,count,mean,median,std,sem,count,mean,median,std,sem,count
condition_name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_tilt,2.3175438596491227,2.0500000000000003,0.4698890123210112,0.04400913819579949,114,2.3813333333333335,2.2,0.4469338744637475,0.03649199804004312,150,2.324382716049383,2.15,0.4551034847276065,0.03575630668805768,162,2.121683673469388,2.0500000000000003,0.24136730587936325,0.017240521848525942,196,2.075,2.0,0.23129244019941717,0.016437237979384317,198,2.0462962962962963,2.0,0.11482575992118188,0.009021563721685133,162
tilt_left,2.3083769633507853,2.2,0.3764207951820238,0.027236852829769245,191,2.179896907216495,2.2,0.14710677694988086,0.010561651069912683,194,2.0850000000000004,2.0500000000000003,0.19075139494786475,0.014629964149880928,170,2.0346153846153845,2.0500000000000003,0.03722640080282705,0.0026658379321858254,195,2.127840909090909,2.0,0.34180537872874334,0.03643657579958443,88,2.1375,2.0,0.4225527472113088,0.04405416924648666,92
tilt_right,2.4634517766497463,2.3000000000000003,0.4587129999085407,0.03268194803458775,197,2.2025,2.2,0.1317403796798497,0.009315451582771233,200,2.0984375,2.0500000000000003,0.21766888791096878,0.01570889887870053,192,2.051990049751244,2.0500000000000003,0.035651366039711634,0.002514653473548082,201,2.15234375,2.0,0.37410572503496525,0.033066586881616726,128,2.0609848484848485,2.0,0.19840147380210443,0.01726863174881307,132
